page_type,title,h1,target_keyword,search_volume,url_slug,parent,page_tier,build_method,intent,section_class,hub_or_node,notes
home,Puppies for Sale Singapore | Licensed AVS Breeder | Curious Tails,Puppies for Sale Singapore — Trusted Breeder with Free Training & Starter Kit,puppy for sale Singapore,high,/,root,core,astro-page,commercial,core,L2,Root document. Homepage. Leads with price advantage + free training + starter kit + AVS trust. Clear CTA: WhatsApp.
breed_hub,Our Puppy Breeds | Curious Tails,Cavapoo to Corgi — Choose Your Perfect Puppy,our breeds Singapore,medium,/puppies,/,core,astro-page,commercial,core,L2,Hub for all breed listings. Quick breed selector + lifestyle matching guidance + CTAs to individual breed pages.
breed_page,Cavapoo Puppies for Sale Singapore | Curious Tails,Cavapoo Puppies Singapore — Friendly Family Companion,Cavapoo Singapore,high,/puppies/cavapoo,/puppies,core,astro-collection,commercial,core,L3,Product page. Breed overview + temperament + exercise needs + HDB suitability + Curious Tails pricing advantage (vs $4,300-$6,500 market). Includes lifestyle match messaging. CTA: WhatsApp/reserve.
breed_page,Maltipoo Puppies for Sale Singapore | Curious Tails,Maltipoo Puppies Singapore — Affectionate & Intelligent,Maltipoo Singapore,high,/puppies/maltipoo,/puppies,core,astro-collection,commercial,core,L3,Product page. Breed characteristics + care requirements + small space suitability. Lifestyle matching for working couples. CTA.
breed_page,Mini Dachshund Puppies for Sale Singapore | Curious Tails,Mini Dachshund Puppies Singapore — Smart & Spirited,Mini Dachshund Singapore,medium,/puppies/mini-dachshund,/puppies,core,astro-collection,commercial,core,L3,Product page. Breed profile + unique traits (low shedding, compact). HDB messaging. CTA.
breed_page,Corgi Puppies for Sale Singapore | Curious Tails,Corgi Puppies Singapore — Big Personality in a Small Package,Corgi Singapore,medium-high,/puppies/corgi,/puppies,core,astro-collection,commercial,core,L3,Product page with HDB reality check: not approved. Educate honestly + offer alternatives. Links to "HDB-friendly breeds" page. CTA.
breed_page,Shiba Inu Puppies for Sale Singapore | Curious Tails,Shiba Inu Puppies Singapore — Independent & Alert,Shiba Inu Singapore,medium-high,/puppies/shiba-inu,/puppies,core,astro-collection,commercial,core,L3,Product page with HDB reality check. Link to alternatives + lifestyle matching. CTA.
breed_page,Bichonpoo Puppies for Sale Singapore | Curious Tails,Bichonpoo Puppies Singapore — Hypoallergenic & Playful,Bichonpoo Singapore,medium,/puppies/bichonpoo,/puppies,core,astro-collection,commercial,core,L3,Product page. Low-shedding + HDB-friendly angles. CTA.
breed_page,Cockapoo Puppies for Sale Singapore | Curious Tails,Cockapoo Puppies Singapore — Loving Family Companion,Cockapoo Singapore,medium,/puppies/cockapoo,/puppies,core,astro-collection,commercial,core,L3,Product page. Family-friendly + first-time owner messaging. CTA.
pricing_hub,Puppy Pricing & What's Included | Curious Tails,Transparent Puppy Pricing — Free Training & Starter Kit Included,puppy pricing Singapore,medium,/pricing,/,core,astro-page,commercial,core,L2,Hub showing Curious Tails pricing strategy. $2,888-$4,488 vs competitors. Breakdown: what's included (starter kit + delivery + training) = real value. Comparison table optional.
training_hub,Free Puppy Training Lesson | AVS Certified | Curious Tails,Free First Dog Training Lesson — AVS Certified Trainer,dog training Singapore AVS certified,medium,/free-training,/,core,astro-page,commercial,core,L2,Educate on what free training includes. Link to AVS trainer registry. Why training matters for first-time owners. CTA: reserve lesson.
starter_kit_hub,Puppy Starter Kit (30+ Items) | Curious Tails,What's Inside Our Comprehensive Puppy Starter Kit,puppy starter kit Singapore,medium,/starter-kit,/,core,astro-page,commercial,core,L2,Detailed breakdown of 30+ items. Explain what each serves + why comprehensive kit matters. Cost value prop ($500+). Guides vs DIY comparison.
trust_hub,Why Choose Curious Tails | AVS Licensed Breeder,Trusted Puppy Shop — AVS Licensed & Verified,licensed pet shop Singapore AVS,medium,/about-us,/,core,astro-page,commercial,core,L2,Trust/credibility page. AVS license verification + how to check any pet shop. 39 5-star reviews. 2+ years. Owner story (Nelson & Kim). Link to AVS registry. Educate buyers on verification process.
delivery_hub,Free Puppy Home Delivery & Setup | Singapore,Free Home Delivery + Playpen Setup,puppy home delivery Singapore,medium,/delivery,/,core,astro-page,commercial,core,L2,Explain delivery process + home setup. Why it matters (puppy comfort + owner onboarding). Include logistics + timeline. CTA.
fto_hub,Puppy Buying Guide for First-Time Owners | Singapore,Your Complete Checklist — Buying Your First Puppy,first time dog owner Singapore,high,/first-time-owners,/,outer,astro-page,educational,outer,L2,Hub for first-time owner content. Links to substackpages + resources.
fto_breed_selector,Which Breed is Right for You? | Puppy Quiz,Find Your Perfect Puppy Match,best breed first time dog owner Singapore,medium,/first-time-owners/breed-selector,/first-time-owners,outer,astro-page,educational,outer,L3,Interactive breed selector tool or quiz. Based on: HDB/private, lifestyle, activity level, space, allergies. Links to individual breed pages + considerations.
fto_hdb_guide,HDB-Friendly Dog Breeds in Singapore | Approved List,The Complete HDB Approved Dog Breeds List + Alternatives,HDB dog breeds Singapore,high,/first-time-owners/hdb-breeds,/first-time-owners,outer,astro-page,educational,outer,L3,Official HDB-approved breed list. Explanation of why restrictions exist. Alternative breed suggestions if reader wants non-approved. Link to LandL Approved Breeds Register.
fto_puppy_care,Puppy Care 101 — Week by Week Setup,Your Puppy's First Weeks Home: What to Expect,puppy care guide Singapore,medium,/first-time-owners/puppy-care-101,/first-time-owners,outer,astro-page,educational,outer,L3,Week-by-week onboarding guide. Feeding + potty training + sleep schedule + vaccination timeline. Singapore-specific (heat, humidity). CTA to Curious Tails support.
fto_budget_guide,Puppy Budget Planner — What's the Real Cost?,How Much Does a Puppy Cost in Singapore? Full Year Breakdown,puppy cost Singapore,high,/first-time-owners/budget-guide,/first-time-owners,outer,astro-page,educational,outer,L3,Total cost breakdown: purchase + food + vet + grooming + training + licensing + contingency. Compare: licensed ($2,888+) vs unlicensed (hidden costs). Link to Curious Tails pricing.
authority_hub,Pet Safety & Education | Curious Tails,Learn Before You Buy — Pet Safety & Buyer Protection,licensed pet shop verification,high,/learn,/,outer,astro-page,educational,outer,L2,Authority hub for safety, regulations, buyer protection.
authority_smuggling,Avoid Smuggled Puppies — How to Spot Red Flags,Why Unlicensed Sellers Are Dangerous — Parvovirus & Smuggling Risk,smuggled puppies Singapore illegal,medium,/learn/smuggled-puppies,/learn,outer,astro-page,educational,outer,L3,Educational trust content. Real news cases (3 puppies died at checkpoint, $7k fine examples). How to verify AVS license. Why smuggling happens. What to look for at a seller.
authority_licensing,How to Verify a Pet Shop is Licensed,Check if a Pet Shop is AVS Licensed in Singapore,how to check pet shop license Singapore,medium,/learn/verify-license,/learn,outer,astro-page,educational,outer,L3,Step-by-step guide to verifying AVS license. Link to official AVS registry. Explain what licensed means (welfare standards, inspections, health guarantees).
authority_health,Puppy Health & Vaccinations in Singapore,Vaccination Schedule + Health Checks for Your New Puppy,puppy vaccinations Singapore,medium,/learn/puppy-health,/learn,outer,astro-page,educational,outer,L3,Health requirements for puppies arriving in/living in Singapore. Vaccination timeline. Microchipping + licensing requirements. Quarantine notes.
blog,First-Time Dog Owner Tips — What Nobody Tells You,5 First-Time Puppy Owner Mistakes to Avoid,puppy owner tips,medium,/blog/first-time-mistakes,/blog,outer,blog,informational,outer,L3,Blog post. Personal stories + practical tips. Relate to Andrew Mak case study (breed mismatch avoided). Link to Curious Tails.
blog,Best Puppy Breeds for HDB Living in Singapore,Low-Shedding, Low-Barking Dogs That HDB Allows,HDB dog breeds guide,medium,/blog/hdb-dog-guide,/blog,outer,blog,informational,outer,L3,Blog post. List HDB-approved breeds + why they work for Singapore apartments. Link to breed-selector tool.
blog,Cavapoo vs Maltipoo — Which Should You Choose?,Complete Breed Comparison for Singapore Families,Cavapoo vs Maltipoo,medium,/blog/cavapoo-vs-maltipoo,/blog,outer,blog,informational,outer,L3,Blog post. Breed comparison table. Temperament, exercise, care, cost. Lifestyle matching. Link to product pages.
